dbname_list,α,β,QoI_list,evidence,q̂_list
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_3,2.3967995185539165e-7,85.08520706444692,"[96.31818159866597, 96.09295609733584, 96.1206319841946, 95.97701008319709, 96.08570653083713, 96.11707603026149, 96.05764193175474, 96.09052613880485, 96.20366919768408, 96.15502016930401, 96.13484763756897, 96.07668002566453, 96.15807468256716, 96.05290061659079, 96.15795817514451, 96.14195750754484, 96.02480966273366, 95.9371211122925, 96.21753190565164, 96.09729754063406, 96.146891089895, 96.04361674151615, 96.00259037788933, 96.0639979342839, 96.05657425009568, 96.13748538428688, 96.18627454662631, 96.15510351513669, 96.05900620747457, 96.06145169911427, 96.077118678392, 96.04123085838754, 96.13856250023086, 96.07177331393258, 96.14298787523529, 96.10838841103511, 96.08095198976541, 96.07607813635047, 96.15850102454097, 96.00792396911238, 96.0584058118919, 96.23390067512206, 96.04575247288739, 96.07639401961679, 96.20864421111514, 96.159629699286, 96.02801534675199, 96.20444982288888, 96.09908678455348, 96.1318586824309, 95.96019482691518, 96.04484539875604, 96.14781697112339, 96.06537962803282, 95.99127526472398, 95.97765849793029, 96.19539817902468, 96.05194852421694, 96.07011356045413, 96.23047889995672, 95.8483783878027, 96.03669833882591, 96.10939256082536, 96.10798816056952, 96.0852334824752, 95.95019558923315, 96.15951121238963, 96.01007625378975, 96.08431674790623, 96.04281746106327, 96.11847402053206, 96.1765974919708, 96.10856542296065, 96.11929005390874, 96.19802324226622, 96.01864938822929, 96.07088766688769, 96.16287130634298, 96.08653578173801, 96.09736046085285, 96.05630826951153, 96.06318648240517, 96.02071609019426, 95.97570450729815, 95.98811481291175, 96.08123657339885, 95.90626199577932, 96.1477029311849, 96.03748916838919, 96.02542556546473, 95.997642428961, 96.13262950516508, 96.0956485230504, 96.1447298696835, 96.11071884727913, 96.04855327758652, 95.96217133984813, 96.2467137460364, 96.0556093960141, 96.07734953469948]",26739.653772451442,220.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_4,1.5078980445148844e-8,131.78112516051465,"[91.42347531655976, 91.4082681648976, 91.16452994132442, 91.378384968556, 91.42834391494385, 91.266688618884, 91.53039270572941, 91.46328581836438, 91.65989706440277, 91.48043092057596, 91.28955807241394, 91.37056065435475, 91.52654803729058, 91.47137987444113, 91.4309298169397, 91.37623671433315, 91.51561990815425, 91.30226170370477, 91.38432985667771, 91.62385658929124, 91.50032542766287, 91.36954739860178, 91.5245363126458, 91.50418050917753, 91.53169139746332, 91.2174242920824, 91.48026812981512, 91.32375342874677, 91.36976443345814, 91.30299191026428, 91.31830833046104, 91.38197999177855, 91.36062394536314, 91.31767916073143, 91.4553934971825, 91.41972092405224, 91.43990496397878, 91.48720196481482, 91.411576645289, 91.27441205593883, 91.1963118646926, 91.44557782572775, 91.53409193205584, 91.43125025124398, 91.48650215383017, 91.53449726347239, 91.50652753519373, 91.3719096469117, 91.26265356183043, 91.41424635078262, 91.29513532247046, 91.57071068688, 91.54402575240891, 91.46467255345448, 91.47055186397968, 91.58402357582277, 91.41795306904861, 91.42915557592069, 91.37873878664314, 91.45371860225646, 91.57805133996465, 91.27918432839851, 91.51611295635912, 91.64408201374134, 91.47698609741508, 91.5000126987991, 91.25937985278354, 91.46717285029132, 91.43310939135839, 91.3422105243474, 91.46037423186272, 91.45559115725632, 91.50141734579597, 91.54829909173245, 91.40003312020937, 91.3893068001474, 91.40376991799646, 91.38079980292689, 91.45826742377507, 91.52182673537442, 91.44892662679186, 91.4846250422208, 91.2945681766698, 91.6109975440093, 91.35895070436253, 91.32627603923783, 91.46767238011093, 91.52079067373724, 91.40559784750637, 91.53823346725606, 91.32530338211828, 91.41141503684257, 91.4834285685761, 91.35513087908984, 91.51976750462586, 91.36140898355433, 91.4315781407035, 91.29470876888564, 91.55441823542111, 91.42617852638492]",33964.25086736961,171.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_5,1.5407144762409194e-8,134.72435709796255,"[89.6392474958657, 89.65366381524498, 89.70720368751803, 89.33088031303777, 89.59215005322216, 89.39246119478945, 89.40199211460762, 89.60274237825752, 89.849841018458, 89.61891415706057, 89.6809457583335, 89.6550365348859, 89.5434717149771, 89.73179417743303, 89.93622496451471, 89.66402329649512, 89.45998728717387, 89.55076606250614, 89.4894599116215, 89.69182182676953, 89.94889572087912, 89.65695480170523, 89.76431464299327, 89.4526277933039, 89.7923986428862, 89.83757098792603, 89.6582827919386, 89.64114588940016, 89.84322024555118, 89.57087304521356, 89.6796511063283, 89.59117531447862, 89.91187502747574, 89.4714647781599, 89.73696090101649, 89.627599256999, 89.38617086973832, 89.56834677762494, 89.85840077075414, 89.82483898934096, 89.62079333361143, 89.5231626029634, 89.41247492021739, 89.61767862165941, 89.44803956266166, 89.41691082755408, 89.6063728250055, 89.48248414179068, 89.64154021219764, 89.77813031164102, 89.83394047852968, 89.94112787277585, 89.52654652121396, 89.84180887432743, 89.64515281280036, 89.63600014769536, 89.77126799357774, 89.5946158507381, 89.7053807313805, 89.53051256337845, 89.5228111765408, 89.67436344503565, 89.57316674876505, 89.43191259083314, 89.4928255276432, 89.6313708867891, 89.68146447822147, 89.6374727058296, 89.78740416715809, 89.69118062150723, 89.73755637967083, 89.44848201775511, 89.50017212405872, 89.60382026072774, 89.71108988345823, 89.91416483122157, 89.61172281340633, 89.67294230790739, 89.8193863500269, 89.45626089608459, 89.53589099683468, 89.84897287562144, 89.52885892316043, 89.60507840065779, 89.64151971039527, 89.57408969486153, 89.48026444374072, 89.43977382648373, 89.5865643551851, 89.56354021067827, 89.81961277255087, 89.57315849006109, 89.52306125398907, 89.45109256115106, 89.5714956642392, 89.455578550716, 89.81633307712787, 89.82588057451785, 89.58995017280155, 89.59842517140652]",34310.938058429136,116.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_6,0.0009777870015127204,210.65996611171568,"[90.23646118125725, 90.18331928334908, 90.32516485871182, 90.21895994950663, 90.18739312285716, 90.26528536086671, 90.3290937717334, 90.33646377189064, 90.18168895949435, 90.12522636131166, 90.15998904151289, 90.2235758141874, 90.03725126463026, 90.18708047485237, 90.22185052437653, 90.22150429235369, 90.27339170557754, 90.113495986313, 90.20629254270875, 90.3621454469501, 90.36772100324943, 90.4242498871955, 90.25461436475189, 90.09795293929683, 90.11004311794467, 90.37956244056932, 90.24163480871123, 90.2312179271595, 90.13699594405531, 90.28392429404737, 90.15503538249472, 90.0166348874018, 90.17958284251623, 90.04218708914631, 90.21314847167946, 90.29777168487747, 90.084745665078, 90.1651658214086, 90.39880501957448, 90.19764154967751, 90.33464704582646, 90.15737891801439, 90.16289492069788, 90.06485777321045, 90.2188790384839, 90.35560731126196, 90.17883737910093, 90.10153414444495, 90.4276056295184, 90.07332809199232, 90.30627869830316, 90.4481782855559, 90.27236971760188, 90.18765132187693, 90.32494201435041, 90.34991814262091, 90.23077602838428, 90.23753252023657, 90.16085346471667, 90.11813792443054, 90.23576350153971, 90.169814408905, 89.93968139079334, 90.31746178964589, 90.24870840999857, 90.1299038855256, 90.14384555805971, 90.26737987869055, 90.25573987528219, 90.23720802511785, 90.12094354173351, 90.2353284394582, 90.16715430970208, 90.25152526646139, 90.05566965505209, 90.18078892108771, 90.3231972500574, 90.27100196924331, 90.26442662058871, 90.11497123607644, 90.33822078404101, 90.28703463844784, 90.1681007132279, 90.29842703467683, 90.11824356297362, 90.19724884182317, 90.12283852955194, 90.13594730785977, 90.33208009153878, 90.08808917826434, 90.21955693445622, 90.26905326333515, 90.25016148619407, 90.02901102458577, 90.09152898949219, 90.20309152285776, 90.35179727096705, 90.41443132452865, 90.14462831734745, 90.1468868463497]",41745.219434404346,87.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_7,2.6784195167556693e-9,285.5056128239267,"[91.05070087382408, 90.94351424406007, 90.9927124137919, 91.01025295896201, 90.79640526393037, 91.11852503118914, 90.91131223395342, 90.99274005145729, 91.06401093878159, 91.0464230036776, 90.97682457828122, 90.98155096540253, 90.92136631314992, 90.982171981223, 90.90464187417847, 91.00645512348657, 91.06918054510817, 90.86486445678545, 91.10632258528565, 90.91065431688203, 91.13063301479482, 90.89617609960663, 91.0994376421322, 90.92170580536931, 90.99778426874306, 90.95341155714539, 90.95976111366443, 90.89314516241335, 91.06467934439596, 90.92395202018741, 90.91501950325008, 90.95245585776738, 90.94949438624957, 90.93608519882142, 90.80992038958165, 91.05511566086393, 90.8077649854722, 90.88823492145916, 91.05378797732031, 90.8824956889311, 90.9710585402071, 90.95834068054369, 90.82988282525267, 91.09171376470826, 90.95843781871837, 90.95946842883322, 90.88520544280466, 90.88273989388524, 90.98878510011635, 90.95575885407669, 91.03528104263621, 91.2288027425809, 90.89711178101791, 91.01310938912376, 90.91605172224484, 91.0574439888972, 91.07722076220229, 91.03180315882847, 90.90405971538239, 90.82949613413922, 91.0751710086556, 90.93973751306443, 90.88506058584491, 90.83340115809169, 90.80562708627504, 91.10506882373028, 90.99993956648899, 90.96914000104614, 91.07495538082584, 90.98157824758144, 90.91060464722348, 91.09314668444986, 90.84721908558932, 90.97684412463384, 91.01037149698116, 90.9871877178884, 91.0718344616418, 90.95108233207513, 90.88794064311121, 90.84428167299264, 90.98261800921844, 90.98409972365471, 90.94304114205308, 90.94011134794795, 91.05575875633413, 90.9633432778263, 90.98804832950977, 90.99789750866599, 90.96675152175516, 91.04834347286527, 90.98498451795423, 90.89503141202863, 90.9589598785626, 91.15144761847871, 90.99473505184129, 90.97171323944656, 91.16680080634012, 90.9208894259044, 90.89285425124396, 91.07068492361162]",46736.207507438434,74.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_8,0.0006875528911020081,385.4371166422335,"[87.45064038452375, 87.53969161945541, 87.46222512015088, 87.56137957469036, 87.48357772668113, 87.40246632606609, 87.51044831727408, 87.36094177637177, 87.56091984638157, 87.55386638260454, 87.53445233520348, 87.37744582290426, 87.48007558287777, 87.33883276585897, 87.38868853662707, 87.4040813973957, 87.47363291388783, 87.57021473836386, 87.47120893038043, 87.52034022000362, 87.3310024476091, 87.5389651093664, 87.56855064381486, 87.54259231228687, 87.53082756682336, 87.58606114334576, 87.5281706077187, 87.46658881723572, 87.54963721726365, 87.42059480791211, 87.46130762449125, 87.46093870557866, 87.42474706899915, 87.45462395518682, 87.52819951152271, 87.77022429341174, 87.3382175851078, 87.5898243499394, 87.51943521638263, 87.54064602562808, 87.72841498805278, 87.52719449784082, 87.52842242898942, 87.61677646028437, 87.43688657163074, 87.5400060439727, 87.61894732573676, 87.5508778729925, 87.57949354225164, 87.4223976687868, 87.55433725737873, 87.47225108867946, 87.50125580972103, 87.51367385140658, 87.49571054474528, 87.46031608689388, 87.56179556112295, 87.40613892125903, 87.42817034687066, 87.4776272919901, 87.44194579333912, 87.3559979865943, 87.16905092630188, 87.37415450279953, 87.38521503659577, 87.55200326784974, 87.58258991359344, 87.64130900826136, 87.64236189789708, 87.4605950793721, 87.62605817848439, 87.61332360872574, 87.53591256087219, 87.49050750611809, 87.47496739783008, 87.40576894476091, 87.5498204687023, 87.50949488581769, 87.33881684903726, 87.47036945485982, 87.42315130008973, 87.37777331385591, 87.5538396009937, 87.3947364671774, 87.53527676033832, 87.47282800046871, 87.53180498221012, 87.58989425705079, 87.50104959023899, 87.50617834055629, 87.55760941594816, 87.46869940505815, 87.51579640142513, 87.44913955120859, 87.39988009643413, 87.56734811696029, 87.51635458295488, 87.56256742776019, 87.61782782675613, 87.59861441870326]",51554.6383340092,51.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_9,1.5648002146782676,699.2699215395193,"[87.77762406702904, 87.87334075893075, 87.7407616758082, 87.81000023671807, 87.86960370296863, 87.66959075349635, 87.69379219914958, 87.89012997844472, 87.79191882693738, 87.82105932527767, 87.80111554267246, 87.85094924333882, 87.8149045921428, 87.77217433661806, 87.82516989497549, 87.74754310697395, 87.84762970058244, 87.63061211553799, 87.61013765738218, 87.7126569792915, 87.89410804935606, 87.68432495762801, 87.61664544134022, 87.71788538623183, 87.56632421856621, 87.79633833519758, 87.83386276807197, 87.76787752906435, 87.75139710991124, 87.74784686379219, 87.7243650413165, 87.74094503491958, 87.87335967045334, 87.68993051839162, 87.69777730683582, 87.81675804033841, 87.85526217691046, 87.7415686634157, 87.69056061596966, 87.70050920606377, 87.71841576603785, 87.7797653628773, 87.74842691551429, 87.85486679840753, 87.67165420887366, 87.76268004943414, 87.66062732562125, 87.67861615888414, 87.88366458790662, 87.65623613252787, 87.74592680011175, 87.72671549331011, 87.73713305695232, 87.75189271782314, 87.660808891915, 87.79353581412514, 87.6697159069474, 87.86159899047706, 87.75190340033608, 87.84977098651964, 87.86108870131646, 87.71849074440959, 87.61125810273946, 87.79109293339593, 87.77156641834362, 87.64914171649197, 87.74764392159602, 87.7157997664075, 87.59233829108685, 87.69793262306682, 87.70680274394718, 87.78734725675692, 87.866398753047, 87.85307313889388, 87.68548673846792, 87.68371084682478, 87.61866214879328, 87.67865942353329, 87.69410620127574, 87.7183094440974, 87.75199671558569, 87.72134414534521, 87.66589025060752, 87.76488338888696, 87.72493672616623, 87.68568724494803, 87.74360615892333, 87.77577537795898, 87.69978466991108, 87.7148252563944, 87.84545334440037, 87.64582998347223, 87.6801501189548, 87.74952168739757, 87.6515494469338, 87.73634368832859, 87.68554789057421, 87.86821541574389, 87.71596642528485, 87.80415271181874]",61557.31079331515,50.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_10,6.567089474660357,1049.8745045396822,"[88.455000588036, 88.40040209770171, 88.48529498238456, 88.21140978081787, 88.51896104253491, 88.45936043406424, 88.29640902319731, 88.36530755407927, 88.43703399665482, 88.43360494674236, 88.43054495623983, 88.4273962621322, 88.44021367113317, 88.22767409873921, 88.38185521276468, 88.28211789652043, 88.26340180840224, 88.36921134080542, 88.36126723063373, 88.40043102981869, 88.48575288552239, 88.43418862927855, 88.26316424911663, 88.51433469558778, 88.4244899952211, 88.40443953629448, 88.21882295955096, 88.52873050854883, 88.45809162030075, 88.47693791938786, 88.44450812700396, 88.3593471029997, 88.3663880268617, 88.47243502099306, 88.42536092775644, 88.43388851298666, 88.27334310788058, 88.4971601041873, 88.32356797345166, 88.47284759832553, 88.36686731298157, 88.50851441590068, 88.46687236344594, 88.43455859899663, 88.38675068826652, 88.53090613934529, 88.42925092919874, 88.50145364444823, 88.27553420625144, 88.33257401395909, 88.3540945125682, 88.50663735777904, 88.2835161370035, 88.38980603653123, 88.47655406900931, 88.30503136641373, 88.41372619910805, 88.34407269144221, 88.39410216438924, 88.42383139137303, 88.41516201294222, 88.42033691256148, 88.48995283641707, 88.38151085907604, 88.35582152897443, 88.47790402019929, 88.3985604388627, 88.37668517830512, 88.38633918131738, 88.48115316238069, 88.38237873831376, 88.4211757804779, 88.41746631260457, 88.4677185222558, 88.3543087070511, 88.46910692399105, 88.433029083537, 88.41101660697751, 88.46078634565606, 88.4637007995534, 88.51230188503715, 88.33111822438072, 88.31699817317327, 88.4933035258127, 88.38933799764985, 88.48920007572724, 88.50034962871649, 88.41092556916892, 88.42529991615814, 88.426844312116, 88.43328579972967, 88.43370181085103, 88.49190496769805, 88.53950632583216, 88.35099780371011, 88.37960208470194, 88.44249947852441, 88.3089850974719, 88.39012494561842, 88.39319826359453]",68224.97573551472,45.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_11,4.488654598993053,1850.3948853001461,"[88.5033875668766, 88.37859113052393, 88.44874648561915, 88.48506823419729, 88.49127316905634, 88.43525997018132, 88.40922225417103, 88.45021571895018, 88.41306139847644, 88.41796893364275, 88.48421745115589, 88.399029193173, 88.36964508863721, 88.43786393043233, 88.36849830907025, 88.57976921863738, 88.47245108213124, 88.50391816802058, 88.46012027283179, 88.50868332851184, 88.41134406555531, 88.54294414706577, 88.4691520997552, 88.3748727764089, 88.52763267415189, 88.37560369619841, 88.4441266565522, 88.37987626656529, 88.40649055042181, 88.49568895324529, 88.47955670962656, 88.46702551916943, 88.40714196076215, 88.39798832532395, 88.4557020867319, 88.45629670273661, 88.57548792526816, 88.56723334972808, 88.48216038492897, 88.38811661980337, 88.46543598927087, 88.47591076098519, 88.52778973940414, 88.45153430395351, 88.40788186176962, 88.45664848791391, 88.44442964694518, 88.44723317699854, 88.38774401295584, 88.44986177784484, 88.44773394473637, 88.47823357470067, 88.53708508593013, 88.48394633455719, 88.35927146388575, 88.46399534774103, 88.49474523692251, 88.48105163536036, 88.47590620073817, 88.4244895598311, 88.51684703743044, 88.51450419148061, 88.37737863214744, 88.42225318500795, 88.51942170931504, 88.34530142738379, 88.41969262992275, 88.5021818204879, 88.3600508496493, 88.51225025569282, 88.51202782503645, 88.49702581394546, 88.43439795294458, 88.40533829895165, 88.52087425781936, 88.43192510732955, 88.37634149729357, 88.38749035384818, 88.38273366025194, 88.45753497836655, 88.57639699034675, 88.47283798278924, 88.42992860002353, 88.4141428550253, 88.3364048557318, 88.4144922203481, 88.49574174193887, 88.34311807807082, 88.453406843316, 88.42499384999694, 88.38855111296678, 88.47429843267987, 88.39368035678076, 88.5372696528769, 88.3848407145437, 88.41166324383737, 88.34432179436537, 88.38269484732548, 88.45142980979956, 88.47105604088374]",77405.83440910146,38.0
../Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia300/Si_degpair_3_degsite_12,8.402222391857814,3635.2269179568675,"[88.56876710844195, 88.48742602505361, 88.48296252250918, 88.55931732649036, 88.53334397191719, 88.51655996900946, 88.51809361344213, 88.54204813552177, 88.56566902935602, 88.56632528038986, 88.60380653269667, 88.46333200891058, 88.50409969483539, 88.53486852599201, 88.53379377305669, 88.50456193792937, 88.56401596002884, 88.49394658627205, 88.47634928926908, 88.49733998293885, 88.56117661091423, 88.46952016241775, 88.55306678366375, 88.57236679897812, 88.46256787564806, 88.45205617701069, 88.49987178232686, 88.46870040892968, 88.50092437172134, 88.45542226558089, 88.52217995887459, 88.56798780922574, 88.5073878508674, 88.52186119273769, 88.52148427645905, 88.5869868211017, 88.56526590953337, 88.49540116794076, 88.52993046425715, 88.54141127161995, 88.55574330448752, 88.50685954249137, 88.48065235927074, 88.51490766772888, 88.52953201907795, 88.55894173210469, 88.55415827252749, 88.5286748504728, 88.51237755240118, 88.50733114466564, 88.49484659624574, 88.55493452032246, 88.48909622785656, 88.53416380561062, 88.52479783009287, 88.52329357531279, 88.49104692572666, 88.58139432608576, 88.48781371889999, 88.61910836648514, 88.52981131637954, 88.54136655826254, 88.65857898093593, 88.49959765286673, 88.49846852791597, 88.56478984157513, 88.46131962195048, 88.49325223420841, 88.51774773703046, 88.50432370101707, 88.58418875257793, 88.55030004111228, 88.52291216413515, 88.51043865369954, 88.50925426832039, 88.56116135649872, 88.53867218122866, 88.46997993855433, 88.5718278750512, 88.51677440723401, 88.52687173051034, 88.5691615503642, 88.54535853153249, 88.44961642006275, 88.48795043769182, 88.54528563251554, 88.51554620668583, 88.47015779770523, 88.50024869273518, 88.57764177839765, 88.53858406472027, 88.49531188333032, 88.57797408397491, 88.58539877962568, 88.58411537154264, 88.49013358961835, 88.54858150532375, 88.46785439595352, 88.51764463388052, 88.52739158946765]",88362.33763969367,38.0
