dbname_list,α,β,QoI_list,evidence,q̂_list
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_3,2.4729071464157386e-7,82.38355625913631,"[95.87942323532147, 96.00267918839705, 95.9835524412911, 95.98400334101636, 95.91984435072192, 95.95276893415961, 95.91531550100044, 95.95637413873236, 95.98432374875242, 95.87221528563886, 95.77257093206894, 95.97875618452956, 96.02266338605855, 96.05350887198094, 95.91046554018894, 95.97627012442655, 95.96569517045663, 95.95734282825235, 95.88719904321239, 96.02139477939045, 95.91586915230447, 96.04390648235362, 96.11540546703831, 95.94868683237297, 95.89750587812192, 95.90096886712462, 96.01740748617908, 95.99579842231573, 95.89831282242353, 95.9585524873512, 95.86059748048126, 96.0823921045934, 96.06709151122713, 95.92651527935699, 95.96046660004666, 95.93220647438763, 95.83554300821812, 95.86856676291757, 96.02848607000315, 96.05057882235191, 95.89097742367561, 96.12039674286721, 95.87005774839758, 95.90209302403508, 95.97300907211535, 96.02696105234915, 95.94769856246599, 95.97862758525231, 95.9621004888504, 96.05582613792464, 95.8343679330528, 96.02649193405581, 95.98675456786613, 96.06092140916147, 95.91214151774244, 95.95996331769928, 95.87327453965987, 95.91976110626945, 96.04937799915986, 95.99779572486828, 95.8807564401414, 95.96698633821511, 95.84736491561716, 95.89041151062493, 95.9520105349474, 96.05600643329659, 96.00053212429823, 95.96312356192776, 96.11229834947451, 95.98618115780707, 95.92988777713772, 95.85640017972506, 95.94745326551006, 96.07128042457914, 96.0627912192586, 95.8196556433773, 96.04946361218879, 95.98847823293079, 96.02822467421689, 95.95731249750206, 96.0684957646388, 96.06890524149571, 96.18121193061248, 96.05631935230866, 95.85460338337768, 96.07422722584839, 95.95459590599854, 96.00820621681781, 95.93495459586325, 95.90326995748414, 95.95895190569854, 95.99811212849718, 95.83918214144474, 96.0766338724779, 96.05939498168075, 96.05163159110501, 95.93346912928884, 95.84060939803582, 96.00516210991614, 95.83169578137759]",30455.821094672403,224.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_4,1.2251987626421251e-8,121.97091729310401,"[90.96233496342865, 91.08974580590899, 91.01668137113016, 91.01650544332117, 90.8474889677819, 91.21113470901251, 90.91932268682888, 91.00520916885895, 91.0322460158008, 91.00027081849255, 90.85648035656465, 91.12277981580279, 90.89540688851305, 90.93415988074231, 91.03686220595232, 90.98737782482473, 91.15871936374961, 90.77263681332839, 91.07409007611086, 90.81581929217666, 91.11869346255, 90.99117981918198, 91.01565494691225, 91.08659766875341, 91.10590195869419, 91.11423448536377, 90.97344445649388, 91.0662653363833, 91.01183990529506, 91.02174731997226, 91.05397858139608, 91.14917625955262, 91.14075944720545, 91.14351482917213, 91.14340667795373, 91.02352912192306, 91.04464949228701, 91.2266828625008, 91.08197507985783, 91.04695961677896, 91.03258814689305, 91.18148433589016, 91.12320176185789, 90.99657192952358, 91.01541613074302, 91.12529360812503, 91.06518169041426, 91.07182743614634, 91.22666022786386, 90.8664770856158, 91.0637448542167, 91.16304037833775, 91.07471352526034, 91.00085683451866, 90.95816599997808, 91.08130415185164, 91.05677125336008, 91.0692920053729, 91.05632497093178, 91.067939149965, 91.14416518193235, 91.20065116312085, 91.18861168913811, 90.99125859838544, 91.10765686424706, 91.11150593512308, 91.07360877553975, 91.19092957769396, 90.87013916700904, 90.98778253475032, 91.28638065989911, 91.04199555486714, 91.15449029424906, 91.04175468134726, 91.08042885683639, 91.07072241698492, 90.93841105317757, 91.16480935715865, 91.00314071117951, 91.0337087463057, 91.04360792273613, 91.04193635159143, 91.18685841771554, 91.2429829265186, 91.01450157662492, 90.88032653186247, 91.30184340880282, 90.83509625459335, 91.01505444535627, 91.10355532764557, 91.03318562563314, 90.91522433671837, 90.80074901240565, 91.25777722599517, 91.06335894018818, 91.240970187368, 91.07909741839676, 91.06773997852758, 90.96863910707647, 91.11998033394663]",38041.2712826864,170.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_5,1.590313904975118e-8,124.5286001798593,"[90.11542121655884, 90.25096645887541, 90.47618085071099, 90.32780590904962, 90.25265578630378, 90.3462021345569, 90.26219212223997, 90.19728836587524, 90.26402649860913, 90.15924186584846, 90.3968441288592, 90.3736114718022, 90.30698082031479, 90.30774081263966, 90.28106218037907, 90.25571520888374, 90.26310638990778, 90.34788755331452, 90.45454620730278, 90.4198573444654, 90.41453270635303, 90.15001099359286, 90.32840835551657, 90.26772601037959, 90.31840950841202, 90.3119910409795, 90.33820886694903, 90.30201609137053, 90.28104274174848, 90.16698386029998, 90.3052337789461, 90.15555689423968, 90.27860286278123, 90.25776347997126, 90.42307239407073, 90.1529136063122, 90.3642029494494, 90.19343320395402, 90.19372008624691, 90.23602634267354, 90.1812293829064, 90.16088697067663, 90.1918964584487, 90.21951443616537, 90.38502187377374, 90.41333214671876, 90.31745590225925, 90.46090312894108, 90.30574942449864, 90.33032043015477, 90.27082897927374, 90.37707982580373, 90.222707032331, 90.38092164875283, 90.51736503157811, 90.20029830256055, 90.30992819237048, 90.34659359135999, 90.11329700977063, 90.35937451729161, 90.17443799296491, 90.26419949394611, 90.36024407614157, 90.24412827694793, 90.01840623057392, 90.25341819804268, 90.3227254850967, 90.34341563277397, 90.34699948488368, 90.47157602681222, 90.61589196632639, 90.15793056989217, 90.286853243118, 90.24582985237777, 90.22159494228059, 90.14101125534476, 90.19673738623794, 90.3033397402932, 90.42950564319987, 90.25904904567325, 90.08836378990875, 90.32046853233118, 90.21481903049886, 90.22530918100732, 90.06259666818131, 90.39161101664487, 90.40380297003924, 90.39984695032224, 90.31953340565933, 90.29294589687647, 90.20126890889277, 90.23301718517078, 90.16667632710691, 90.3093094109228, 90.37429511022931, 90.25981021806868, 90.32913265693038, 90.1504634532562, 90.25944253958136, 90.40408993521226]",38420.52487370772,128.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_6,0.0008617366699898916,202.33755155655663,"[90.12906024499519, 89.95880384750404, 90.14991757847872, 90.04226161854265, 89.92868481394444, 90.19869285510794, 90.41983725488758, 89.98140603237117, 89.96221283269449, 89.94487628802196, 90.25601669372217, 90.27709152750157, 90.44513517235211, 89.97216941208697, 90.03598940430068, 90.20471338370511, 90.03707447466286, 90.0226820700955, 90.08732655980177, 90.05121251881137, 89.87320866804582, 90.29372373988603, 90.15116918803201, 90.16131436661377, 90.02506276103324, 90.22419820377304, 90.13952199606032, 89.97937696292529, 89.9362912252201, 90.1927585531725, 90.10157528379048, 90.08462857748029, 90.30855343443662, 90.17215927014352, 90.02115518855469, 90.10455886367554, 90.21760765964858, 90.25032751732225, 90.15149328840742, 89.9898734318355, 90.1340358445101, 90.14232540006753, 90.04243486601374, 90.14787973090795, 90.11224122700067, 90.18050309203606, 90.27807253214358, 89.99257677515509, 90.3496929212656, 90.07695885385077, 90.25627615289007, 90.15345107809226, 90.2731915403535, 89.97515211586192, 90.1641321443791, 90.19296061978939, 90.11502874260061, 90.09987382771874, 90.2386798774419, 90.10972509098174, 90.03508524370719, 90.11358807628494, 90.1905444359864, 90.33674433811588, 90.16500169586419, 90.19777704066024, 89.9867798135277, 90.18859995233922, 90.24278082797852, 90.18438386367072, 89.97962821583907, 90.09600330370853, 90.08173755622904, 89.975759107809, 90.22122989944972, 90.29587953357019, 90.24202478142108, 90.18260914436205, 90.18167249072548, 89.93407797954687, 89.9361271138077, 90.07443632231319, 89.94761546047424, 90.10243072547657, 90.23989028282708, 90.21377852340439, 90.10628925222368, 90.18248817981619, 90.06140051606991, 90.15012106883458, 90.02232547632536, 90.18062612255476, 90.04340752037868, 90.08717086707783, 90.12816853130552, 90.218322789312, 90.01804910465364, 90.20633659200249, 90.11905007153031, 90.15644488213944]",47752.73613309994,89.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_7,0.002260757595958232,287.72873299203394,"[88.35734424026764, 88.1503176729419, 88.19854688232162, 88.3370096198089, 88.18508453587974, 88.28257863169661, 88.43774457732543, 88.34986922999346, 88.40081842534836, 88.20850629884119, 88.13450747601014, 88.24146564237977, 88.23974191557684, 88.3511329148192, 88.53702427305575, 88.27627176973658, 88.43355061387128, 88.3920701737761, 88.23951292632964, 88.38216393614236, 88.43483984014671, 88.39527457213296, 88.40205618588858, 88.2272874777057, 88.40581008512159, 88.27795411966656, 88.28058385974451, 88.40111427810841, 88.25449841582964, 88.23816336742651, 88.33857623795504, 88.26230670726454, 88.30042169730045, 88.17396308909586, 88.35017182434441, 88.3623714255337, 88.48651662474707, 88.31001434561544, 88.38112053590308, 88.27750920865434, 88.31534129489557, 88.40500758159108, 88.14183105152057, 88.4596516141171, 88.37259323555864, 88.49072561378544, 88.20632351350935, 88.42276750753618, 88.42857938426043, 88.28006109745003, 88.24146727503052, 88.620840521764, 88.31094762230974, 88.32989108992005, 88.28481924021108, 88.33230726625001, 88.41980395207479, 88.2797734468756, 88.27212405910129, 88.21762393667315, 88.2548645566371, 88.43877888245932, 88.4865167285332, 88.44890401415611, 88.41132231598078, 88.28542167993038, 88.32038172288276, 88.24267579321321, 88.39183724297166, 88.34248509210518, 88.4355619322475, 88.45236109392658, 88.32889641795384, 88.24743016173967, 88.22505729952276, 88.25282865442985, 88.21005918051394, 88.33214506285972, 88.27162275323235, 88.23922843523522, 88.44139952214114, 88.54856477221973, 88.2959018836108, 88.3463553342566, 88.21427576278445, 88.38350632286912, 88.28016795197206, 88.25697575655168, 88.49132613409746, 88.52226695031577, 88.42945366991539, 88.26320538592257, 88.26685280720683, 88.40076379468188, 88.3507927670651, 88.35267636190737, 88.32346542786316, 88.3871840074466, 88.30194744609445, 88.32437521302451]",54487.66687665911,69.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_8,0.0007816391060824413,389.5603069220282,"[87.2923090738882, 87.03147803272397, 87.33708038388765, 87.26581424458266, 87.25782428430031, 87.25234503764919, 87.12941419902464, 87.2724889819522, 87.2300649262359, 87.3355738929458, 87.22457362006888, 87.17946665660317, 87.22935197750557, 87.3742492883476, 87.36552505396307, 87.3335569493923, 87.2958105961561, 87.49043703990056, 87.30738502803642, 87.22521015579808, 87.32529154547501, 87.17156484410934, 87.3537949275872, 87.21443188819916, 87.06780390825828, 87.24099770835792, 87.3874073890933, 87.05949438693814, 87.2441609689177, 87.21284376412247, 87.2109029047899, 87.29335802297483, 87.35515498470869, 87.27210126071566, 87.22472321467312, 87.33275061249475, 87.22913477276663, 87.29000847469374, 87.25553836239473, 87.35257278604561, 87.48131627057093, 87.3306720007279, 87.33047831944512, 87.20638959582541, 87.12112484188624, 87.14783558099415, 87.20347641300926, 87.31311877212431, 87.32825184303876, 87.21162288313114, 87.12858964107431, 87.1599022962393, 87.21808888964432, 87.22553844831286, 87.26453566133883, 87.24144215504053, 87.38566778358802, 87.31431828704987, 87.25086258413296, 87.21513461806165, 87.12350542630796, 87.21432274540854, 87.27645563470988, 87.2315406732304, 87.3437526695219, 87.21405908541165, 87.34282167738445, 87.30712572365962, 87.24126748246984, 87.30199683407999, 87.18960224620336, 87.29923965820994, 87.13568484085688, 87.23241837191682, 87.26374974502026, 87.15994460903954, 87.22420832062387, 87.3574352593331, 87.27748943026508, 87.13745663068941, 87.3396122592828, 87.24492449264679, 87.41528591494954, 87.33954164045166, 87.25863729225583, 87.40574960262725, 87.12054801360196, 87.19090953276954, 87.299005476916, 87.29304134005537, 87.09648632065719, 87.17199300430106, 87.28951939107266, 87.2672729815069, 87.26752535479359, 87.34282568379778, 87.31904856543716, 87.34483211687761, 87.25022679294283, 87.40317546926912]",60188.07975777367,54.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_9,1.5220642398031987,700.673700151912,"[87.66011920273128, 87.75658265279577, 87.65475796465277, 87.70889221474614, 87.62316184683375, 87.80611744159306, 87.5557570904137, 87.62163683780349, 87.59130783314718, 87.6119383005953, 87.54446602921732, 87.59916221476855, 87.7199605536897, 87.73369348206768, 87.54551672429473, 87.76612480725827, 87.67440454423594, 87.64498971933362, 87.58305898976221, 87.74523417877815, 87.538678510878, 87.62051015680362, 87.678966904396, 87.72231858189281, 87.5088638747599, 87.65506681722714, 87.63493611217126, 87.75751717742678, 87.66746508033395, 87.75854914255403, 87.75287912168345, 87.58519952283682, 87.68264168929143, 87.65369889792437, 87.7091798257289, 87.63396514323861, 87.63427310497872, 87.60501181074866, 87.53465543096273, 87.67671743973096, 87.60490583487, 87.68275011246766, 87.69733440753151, 87.64132746100627, 87.74643841975718, 87.56489653297335, 87.71339211685174, 87.77075370829446, 87.72739109640139, 87.62032269042649, 87.68919502627838, 87.62337152085416, 87.6956714631013, 87.69767820542852, 87.65455133586188, 87.59996112993629, 87.64188742520066, 87.63782345025419, 87.65751332151116, 87.8365983767548, 87.62092368870798, 87.59062413953595, 87.76982927676141, 87.55555185004904, 87.64314753387369, 87.74889499485568, 87.65115379265129, 87.6800566128316, 87.60220024041922, 87.71426628372305, 87.60277399686751, 87.6766603476774, 87.63228917511938, 87.7087432120445, 87.66212827674934, 87.59430649088189, 87.7155535725104, 87.76557500939106, 87.54750918290529, 87.71229468557985, 87.60151672729776, 87.6812190371319, 87.6819691778985, 87.64424967390777, 87.63344080059731, 87.70297176382437, 87.75613395449139, 87.69114771972964, 87.55772930398007, 87.71311215789292, 87.69732117202281, 87.74217819414076, 87.65350381155642, 87.62082635077502, 87.75690644187898, 87.75019320871827, 87.58608832604729, 87.52114827057562, 87.82498974748665, 87.6982506931225]",71629.35420045303,56.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_10,5.810785986671569,993.955828929432,"[88.43734591340151, 88.2311581955608, 88.3573351556701, 88.40269435025772, 88.38570541481874, 88.36354121255486, 88.41504344774846, 88.33669034238152, 88.30721940988316, 88.37216936502995, 88.47394597552923, 88.43621764663806, 88.35367939134804, 88.3823463483086, 88.3339579727568, 88.31987970763065, 88.35715715951456, 88.3806612209746, 88.33031945363228, 88.37892112753389, 88.3568304827649, 88.31893264091525, 88.35382417363492, 88.38681483790953, 88.33656172049682, 88.25071950921809, 88.36913136693, 88.315301098737, 88.45455213419078, 88.26259307696817, 88.28099666712156, 88.38640082215686, 88.46737968809816, 88.38133773947384, 88.24387845131226, 88.37847751407834, 88.31496457103935, 88.35742124995352, 88.39583350341024, 88.36111825827628, 88.38492719672968, 88.31862745616044, 88.3436222619051, 88.25241223345522, 88.43344064356323, 88.38122679714729, 88.35475856235045, 88.35812005458381, 88.38853729793324, 88.34651454404508, 88.40990543912503, 88.29820974021305, 88.28307960822465, 88.33606335978523, 88.42708062934685, 88.45798008306741, 88.34520286426644, 88.41409922168735, 88.379976207493, 88.39531134205367, 88.34876056948123, 88.43386563446938, 88.33952721822757, 88.37511528286272, 88.30919125397246, 88.31923720460287, 88.32285322926053, 88.49863545525041, 88.28369439216563, 88.2678237763461, 88.38237559642444, 88.34114446608861, 88.36300782798966, 88.36232585190152, 88.40456272979787, 88.25615622633728, 88.38209005629241, 88.22949884110936, 88.35722167881757, 88.39731505706443, 88.29567538514716, 88.48851694520336, 88.3404905100022, 88.46512416846717, 88.47031212710083, 88.49883037839757, 88.3823745166528, 88.36777428805307, 88.41105486185828, 88.26394966630079, 88.46979461857708, 88.3752261317662, 88.4329154162819, 88.31260305776912, 88.32714843793, 88.34548544662027, 88.34224259045148, 88.30419201349856, 88.31689138241958, 88.38804448707181]",78284.75259065942,48.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_11,4.820187880955161,1775.327228559023,"[88.41503781781147, 88.47615814172202, 88.34799193135065, 88.45951322498624, 88.44131936118204, 88.50233448856397, 88.56927289788213, 88.48424228354514, 88.40250175772428, 88.43155144552063, 88.47543617110668, 88.376758390674, 88.41665666640061, 88.55427733681316, 88.58748703536448, 88.43562154332355, 88.48871282087549, 88.5427010742084, 88.49179303239401, 88.4278947919792, 88.4618728744639, 88.40441685320818, 88.44670713373928, 88.50969756560899, 88.47269431253764, 88.46852503155168, 88.43290901360932, 88.45108884219175, 88.4736001201772, 88.43894239032329, 88.41399662102842, 88.41340992222763, 88.46494954732525, 88.45722845805241, 88.43292291455681, 88.50700223885285, 88.44428057472362, 88.47459803440898, 88.40703660888681, 88.52968717730998, 88.41610550926029, 88.38574292453337, 88.50656362348644, 88.45360570844967, 88.49247708148336, 88.44505527391611, 88.37489410778764, 88.44257860228737, 88.45266612904008, 88.46425530957904, 88.50451948551536, 88.50256456365712, 88.4520190956101, 88.53077320495692, 88.40711454096758, 88.41520068992935, 88.44827517150057, 88.469525661109, 88.42921933340429, 88.49678241858022, 88.44433108577745, 88.43884257457299, 88.46620757755085, 88.42158662388641, 88.44764575149975, 88.42105182988708, 88.50099471204273, 88.42414970002658, 88.4657373027363, 88.46017154007622, 88.40288050020717, 88.41992036455198, 88.48401048229921, 88.44217505000958, 88.47613963504588, 88.47948654751686, 88.5136373471673, 88.52296224167577, 88.5335014142439, 88.56772392608583, 88.42021873141964, 88.48591243573006, 88.42636098841363, 88.48876210170428, 88.50304055435659, 88.41902254699971, 88.31500600865988, 88.29995795511022, 88.39159938848407, 88.43225146935747, 88.45314024620312, 88.45840443459159, 88.47776985101385, 88.45636808915087, 88.38821105837168, 88.55103551359659, 88.53418279620823, 88.45136567498875, 88.60796307549806, 88.42073605322967]",89266.91222906233,43.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia350/Si_degpair_3_degsite_12,7.478056530031408,3639.116053248146,"[88.06067817843095, 88.09247722475034, 88.01952047931172, 88.08030854936007, 88.08748749879985, 88.09541852414065, 88.09377176968079, 88.06222492090055, 88.02417056022179, 88.13407161513632, 88.004135603717, 88.04723326710504, 88.07578386481308, 88.08091754429678, 88.01406273299574, 88.06269114897377, 88.06438173537583, 88.07946405090094, 88.05109494275726, 88.09608134384499, 88.07704765420641, 88.0537921346537, 88.03945304395738, 88.04125648110819, 88.07020453606621, 88.09874342216733, 88.04251242732433, 88.04038431733272, 88.01949718544593, 88.07641376590837, 88.05973652236932, 88.11404655494667, 87.98648559561423, 88.01724817227327, 87.98475992238853, 88.00454881012206, 88.0375727546351, 88.0275674795512, 88.06128278055631, 88.02210695854558, 88.0024083032371, 88.07413749894016, 88.07114932867917, 88.04856074861894, 88.0610435936109, 88.02727405673167, 88.09338740343, 88.09875134964555, 87.96637546563956, 88.05188702883993, 88.05041833442422, 88.06073243488245, 88.09146039442513, 88.07719826623062, 88.0524583852585, 88.07004111561353, 87.99133182974782, 88.07399117790335, 88.01963583263945, 88.05720997347322, 88.03643483382893, 88.06979495015383, 88.03025370317404, 88.04880698433375, 88.11327329786938, 88.07431248639237, 88.12931825189291, 88.02556380546196, 88.01407110214215, 88.07661822326848, 88.12532733122335, 88.04533787766374, 88.09320365485148, 88.0660448592244, 88.02586651592867, 88.05229127545292, 88.0924169187006, 87.99084986852574, 88.05036203479945, 88.01591303295389, 88.0117386025465, 88.11854808710899, 88.09901738287326, 88.08953340193386, 87.99069165767187, 88.07135183626504, 88.07691831180945, 88.02982608350854, 88.05480666874779, 88.07575182396207, 88.09847097530695, 88.07310347078015, 88.06044974823001, 88.0805108900957, 88.0983211994798, 88.0280607680479, 88.07107005270217, 88.12996685240799, 88.0399645998095, 88.09306276229565]",102843.07975080342,38.0
