dbname_list,α,β,QoI_list,evidence,q̂_list
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_3,2.162870645225421e-8,19.348369461712792,"[1.961123722299817, 1.9434733874877566, 1.9571994166399236, 1.9364719302611775, 1.9381186177488416, 1.9438580691130483, 1.9442098611107212, 1.9332774591093767, 1.9382812436233507, 1.947353920826572, 1.9286531408652081, 1.950975137144269, 1.9527969361442956, 1.9404922448302386, 1.9510985049346345, 1.9374467785601155, 1.9466920894192299, 1.9504403401442687, 1.9407518718289793, 1.9450543164639384, 1.947047998131893, 1.946183060092153, 1.9640835891841562, 1.9563151900074445, 1.9496790185803548, 1.9499219653880573, 1.9573061393530224, 1.9463654363062233, 1.9320124738369486, 1.9620754334537196, 1.9301227958640084, 1.957009235782607, 1.9353025181480916, 1.9488250113645336, 1.9583774980565067, 1.9487245879354305, 1.9590369176876266, 1.9518240275720018, 1.9545277320139576, 1.9501107225369196, 1.9475036593721597, 1.939338369309553, 1.937312265035871, 1.9404663228997379, 1.9302901854753145, 1.952179391439131, 1.9377185452030972, 1.9607610932071111, 1.963067568714905, 1.9368391375319334, 1.9443609446752816, 1.9523841769405408, 1.955772535140568, 1.9303865212277742, 1.957877086031658, 1.9359284962774836, 1.9597913741672528, 1.9590614581175032, 1.939585960310069, 1.941753632578184, 1.9508863542068866, 1.9583985056815436, 1.9248680828386568, 1.9371472726561478, 1.9349650095246034, 1.9280124908982543, 1.944781327751116, 1.9489348603747203, 1.9585744590585819, 1.9426451516337693, 1.9500008681352483, 1.932544123250409, 1.9392451277017244, 1.9547893316339469, 1.928356995296781, 1.9466511607606662, 1.9282119457639055, 1.9382534089527326, 1.9351140878570732, 1.9455395858894917, 1.9433911970845656, 1.9444387391631608, 1.9516481608952745, 1.9561992802264285, 1.9399039765048656, 1.940391882271797, 1.94821389378194, 1.9320309853719664, 1.9480596992725623, 1.9501837809293647, 1.9427603994263336, 1.936869129036495, 1.9484034321430954, 1.942928372809547, 1.9523044866509736, 1.9639137456615572, 1.9434378570585977, 1.9307922286097892, 1.95686674908211, 1.9455995714233723]",7810.66118486967,317.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_4,1.4573752941304865e-8,53.791072984836106,"[2.6709154582349584, 2.6801959287258796, 2.6932790911450866, 2.683520362552372, 2.675092107921955, 2.686451579509594, 2.677402594439627, 2.6748441155577893, 2.688871886835841, 2.670511492040532, 2.688413929856324, 2.6821948341239477, 2.684375159726187, 2.670141267066356, 2.691439503701986, 2.6814940946060233, 2.6874834887930774, 2.6932811181613943, 2.6960647168016294, 2.6801763811236015, 2.6863964244621457, 2.6817201573212515, 2.692430991170113, 2.6864849493285874, 2.692159838596126, 2.692259510680742, 2.670822987187421, 2.6781838001843425, 2.6868804762052605, 2.6911839477543253, 2.683320845106209, 2.688898278873239, 2.6805898451639223, 2.6907713320761104, 2.702050953572325, 2.675193666756968, 2.682667518922244, 2.68672412201704, 2.6788485825818498, 2.6797723299023346, 2.6832962696498726, 2.6972753713998827, 2.687545591572416, 2.694541500750347, 2.695915343290835, 2.692710389921558, 2.6780435927576036, 2.6739013673286536, 2.689582659251755, 2.6895471866082516, 2.683823228420806, 2.685901028162334, 2.663590191717958, 2.697514674597187, 2.687968234225991, 2.6903825503541157, 2.681530661189754, 2.686041397508234, 2.702314021116763, 2.6781934937025653, 2.6893907171615865, 2.691715333807224, 2.68342713554739, 2.6869095077054226, 2.6914581065866514, 2.7008684315660503, 2.679957744323474, 2.692631817270012, 2.673715263190388, 2.691990182400332, 2.6804563677796978, 2.681828686298104, 2.680724795376591, 2.6724648996823817, 2.6821515851843287, 2.6789265087572858, 2.6931427515955875, 2.7014417901373236, 2.6870055668405257, 2.6855955445062136, 2.6835657677947893, 2.6766964200287475, 2.68421692665288, 2.6901774886719068, 2.6946247665473493, 2.677970015727624, 2.6850529470466427, 2.686858227956691, 2.6863779952182085, 2.682110734487651, 2.6864201933931326, 2.688281697301136, 2.6968656797034782, 2.6861066537967417, 2.700222395149467, 2.6867247622067225, 2.6827604695645277, 2.6822734930101433, 2.699875497164612, 2.672789354925044]",72524.43285358982,293.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_5,5.8461430468263624e-8,63.98717994524505,"[3.0938927379611414, 3.097503791192139, 3.093121680110926, 3.0896720217278926, 3.1054039686277974, 3.1110339189472143, 3.0977791311961482, 3.094159464293625, 3.096888786967611, 3.0903555983677506, 3.0994941388926236, 3.083871567469032, 3.0957953456090763, 3.098017165357305, 3.0938578404820873, 3.0987788483398617, 3.092514899399248, 3.096293008835346, 3.0942919337394414, 3.0957699982245686, 3.098766110415454, 3.098705229065672, 3.0955829099257244, 3.104692334520223, 3.0970087310051895, 3.092417872416263, 3.0930847606432508, 3.0934231654609903, 3.0986638222966576, 3.0998889655966195, 3.0970043543129577, 3.0938585273106582, 3.083586490378366, 3.0915326158792595, 3.0946075645042583, 3.088893611151434, 3.093341352119751, 3.0953640501538757, 3.0846342181175714, 3.0961256193186273, 3.0914116637795814, 3.0957718912904966, 3.0968068978982046, 3.0915323115259525, 3.094606985046994, 3.0943195641302736, 3.094547864209744, 3.0959170440983144, 3.0966835578219616, 3.0958148631907534, 3.0943705633326317, 3.09107197906269, 3.087813984362583, 3.100870555601432, 3.096800991312193, 3.1029525899648434, 3.103320342816005, 3.091124027625483, 3.0971878292475594, 3.100907588057453, 3.1010360393702285, 3.0952132946404163, 3.0920490523494664, 3.1010918339306954, 3.088263317447854, 3.0809064305431093, 3.1059009413365857, 3.1021123275641003, 3.100240778272564, 3.0873787136515602, 3.0960884036903735, 3.0955803363467567, 3.1025209498620825, 3.100413492480584, 3.1042075770019437, 3.0808442913621548, 3.0948554671995225, 3.088308918137045, 3.104243676090846, 3.101152467330394, 3.106915859520086, 3.097164749808144, 3.098249127418967, 3.0944288533646613, 3.1017730591993313, 3.0995801569661126, 3.093913352196978, 3.0943727184057934, 3.0923470188499778, 3.093500682101876, 3.0960084304970223, 3.1079751089928322, 3.1011936732538743, 3.0885225189558696, 3.092841464866069, 3.0923033752915217, 3.088942331785802, 3.095318271072756, 3.098273362542386, 3.0859600512776524]",83441.96732229844,224.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_6,2.5353703137035606e-9,97.22429428478439,"[3.1827323394973064, 3.1857912834966555, 3.191426461627998, 3.184615002821374, 3.185707155193086, 3.176731695792114, 3.181652219929674, 3.178248706877639, 3.1869377399852965, 3.188506598227832, 3.1826185308091226, 3.184355642995797, 3.1777313212951412, 3.1764861287228996, 3.177245349441364, 3.1741839608730515, 3.1826901809617993, 3.1844353234264418, 3.1839340463338885, 3.1740716769636492, 3.178032685747894, 3.1851284399890574, 3.1752028374758083, 3.1815484771723277, 3.181652007937373, 3.183436619961867, 3.1802304389930214, 3.1811374783719657, 3.1843364185406244, 3.1824908361959388, 3.1810231413401198, 3.181883851328166, 3.180782555929909, 3.1833389679450192, 3.185515587734699, 3.189524448978773, 3.175800231663743, 3.177085781513597, 3.1811994715826586, 3.181547977073933, 3.17377443206351, 3.183216829165758, 3.1809131884219823, 3.1862060266794288, 3.192569657068816, 3.187861369246093, 3.1822338717101957, 3.181204069573141, 3.1871643532431335, 3.1865065127130947, 3.187365267025598, 3.183721289744426, 3.181612440435856, 3.1864083526379545, 3.1827747325296514, 3.1876043628071784, 3.1829749473763513, 3.18384846697154, 3.1830625019792933, 3.180945837077161, 3.1747225759536377, 3.175428107009793, 3.1872750159091083, 3.174411899948609, 3.177322127543448, 3.184855680912733, 3.1787432761120726, 3.1736560818753787, 3.18324570414552, 3.1823667863645824, 3.1770798203579034, 3.1698797693752567, 3.182022687869903, 3.182258797576651, 3.1762717286255793, 3.1860450669264537, 3.181850093220419, 3.1840550702181645, 3.1810816193610663, 3.1841201100469334, 3.177580423420295, 3.184137918149645, 3.183695522333437, 3.1830723042585305, 3.1793928266779403, 3.175006664074317, 3.175059286550095, 3.182626452166005, 3.1810330189255183, 3.185931509862712, 3.180729286192218, 3.1825371800587163, 3.18559035139333, 3.1854403408942744, 3.182047944806982, 3.185031934262952, 3.179817934600578, 3.1843469579835073, 3.1900726091043907, 3.1807029541087104]",110290.3476144606,173.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_7,3.4664666937921428e-9,130.11792323186327,"[3.5797749441262567, 3.5823563707672292, 3.583196810213849, 3.5765741444120067, 3.577754756624927, 3.5855649157238076, 3.5754538167457213, 3.583332033624174, 3.577773075805453, 3.5764780627650907, 3.577532063514809, 3.575377023233159, 3.5822502092341892, 3.578463674064551, 3.578653665361344, 3.5833807413000613, 3.57864590358804, 3.578537205423345, 3.5810947240388487, 3.575333227418014, 3.5736265970626846, 3.582116390862211, 3.574936182158126, 3.573671560494404, 3.5712854299126775, 3.5875753110158257, 3.585327022105048, 3.577581624573213, 3.58240136927634, 3.5711386292314273, 3.571850022090075, 3.572839661661419, 3.5744559837839915, 3.5795239879444125, 3.5801973789784824, 3.5887752820563037, 3.575200962506642, 3.580166587846179, 3.5741694913740503, 3.581082907381642, 3.580186313658487, 3.578847201250028, 3.576517562236404, 3.572689499487751, 3.5790166807564674, 3.5800137993792305, 3.576752123037295, 3.589206090364314, 3.577646671961702, 3.5759953222732292, 3.5757000986050116, 3.574108969180088, 3.5803877286962233, 3.5769702095203684, 3.5844683666800847, 3.5876906602279632, 3.584177891476429, 3.585868346686766, 3.577315870257735, 3.572698033945926, 3.5757619592623087, 3.5800108370822272, 3.5774681047332706, 3.5804669285862474, 3.5862060681756702, 3.5803868425646215, 3.581579334619164, 3.5825084394746227, 3.5771543283044593, 3.582101818326919, 3.5751830984008848, 3.5792929384842864, 3.582727396496921, 3.5805999298972893, 3.5885579712848994, 3.5803739629336633, 3.5755360321199987, 3.5764548782317434, 3.577406713513483, 3.5785175672281184, 3.571771682945837, 3.5799873060241225, 3.586711798561737, 3.5808698555774754, 3.575201132429356, 3.583748037039186, 3.585299871265306, 3.5780381760923774, 3.582389597184374, 3.5761202925714315, 3.5711472825641977, 3.575958426336001, 3.580830403290747, 3.581549063012062, 3.5800675609643804, 3.5865637514798436, 3.57808500835381, 3.577648433391005, 3.5826845525516546, 3.5809406300541013]",128134.78796907619,146.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_8,0.9703944963400313,137.96065275487624,"[3.4867245196946897, 3.476267892132455, 3.4763940901102615, 3.4760067590977997, 3.4767885419205413, 3.470888160765753, 3.4658180102851475, 3.4753987460717326, 3.4743147571061854, 3.4702182973123854, 3.4769812295999145, 3.4733184136784985, 3.482123453206441, 3.4745997610880295, 3.47330509909807, 3.4651634252877557, 3.4762907771437312, 3.4723448264194303, 3.474601656496816, 3.4771519276691834, 3.4781161307982984, 3.4805873536970466, 3.471028822234075, 3.4837875091689057, 3.4671051217228523, 3.4839520426248782, 3.4694638332657632, 3.475539825820306, 3.476862666699162, 3.4810328933090204, 3.478368215954106, 3.474551053426694, 3.47384933847934, 3.4767789739053114, 3.4826785647383076, 3.4724275749758817, 3.4692120276667993, 3.482705112626718, 3.4653914109949255, 3.4747841747521306, 3.4710316859491286, 3.468343821776216, 3.480690429940296, 3.46837841096567, 3.4813836733228527, 3.478939629974775, 3.484387883298041, 3.474364760739263, 3.475776986524579, 3.4748937056938303, 3.471157071639027, 3.485222376853926, 3.485637908393983, 3.48335363381193, 3.4724634197264095, 3.4792115320888115, 3.4810659181530355, 3.477420180803165, 3.4683641773590352, 3.47322244643874, 3.4681427168034134, 3.477342216327088, 3.476266772224335, 3.479737314308295, 3.4779565899298177, 3.465409981596167, 3.4824458443545154, 3.4826593789912295, 3.4867779892520048, 3.4692041233356576, 3.4780045878869714, 3.4712125970763736, 3.473593311791774, 3.481495112500852, 3.481745642850001, 3.4675716983620077, 3.4733477411646163, 3.4694139820567216, 3.4807502892508637, 3.480087281597662, 3.4771747556660557, 3.481614811695181, 3.48780815036298, 3.473900183904334, 3.477318424542318, 3.482197213146719, 3.481824614747893, 3.472565626645519, 3.4689776658415212, 3.484678237371554, 3.4762360391541733, 3.4702981424197787, 3.4727651592256734, 3.4730939638393465, 3.4724817341411836, 3.4842919778529904, 3.4901411216997076, 3.4711390896336525, 3.4739149560627993, 3.4795639852745808]",131858.84686567297,108.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_9,0.027776528739828173,184.43568960710812,"[3.608655205280229, 3.61631531859166, 3.6041345678168, 3.6073553004316636, 3.6113227184978314, 3.607602803160262, 3.608635934557242, 3.6165440968834446, 3.6173740912854555, 3.618068411073182, 3.6108701130433474, 3.6162600380557706, 3.6150466705075814, 3.6136272222429398, 3.6131375206823577, 3.6038881784988916, 3.6157426042991574, 3.608125367165485, 3.629639296210371, 3.60632374206034, 3.617852781637339, 3.6169470410241047, 3.621384104844765, 3.6148726231622277, 3.605884100041294, 3.614237693269388, 3.6111490670591593, 3.605502782651456, 3.606886998451955, 3.6091812295853742, 3.612100857528276, 3.6125077669275925, 3.6055041931394953, 3.6115791223055567, 3.6073447418093565, 3.613048700717627, 3.61974579445814, 3.6208653766298085, 3.609293739187706, 3.6054828102714964, 3.6093507860859972, 3.618467961678107, 3.6155929267042666, 3.610116651383578, 3.6038852010751725, 3.6182191702682758, 3.6173305040138075, 3.6221258676741854, 3.617010287809535, 3.6160145946778357, 3.6177846001955913, 3.6183590869841282, 3.616363248846028, 3.60909067340981, 3.6123193737585098, 3.6143645072515937, 3.613817763973202, 3.605467691697413, 3.610298616469663, 3.6254299672946217, 3.6048182533559157, 3.6102941541103064, 3.6095173564972356, 3.6124475830001757, 3.6200101547219674, 3.61321111756115, 3.614011465877411, 3.6102637522271834, 3.606653838622151, 3.6114583023954765, 3.604881932544231, 3.60987797571579, 3.6044086462352425, 3.6157365734907216, 3.6152976454104646, 3.607984793095966, 3.6089923808394815, 3.6103975040023215, 3.6117373298329767, 3.623636407442973, 3.6102574567630654, 3.615624308891711, 3.6130284676110023, 3.6153261159415706, 3.612522044153593, 3.6142732748994604, 3.6191894631047035, 3.6147673706291243, 3.6056681569680222, 3.6128173059405526, 3.6041208297756384, 3.6100056473660516, 3.609949551486352, 3.6228780782257672, 3.6089972362169647, 3.6145992623860366, 3.6164249790163012, 3.6127950747249997, 3.6116767454877845, 3.6170404111981043]",149922.73274039858,90.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_10,0.014631510923889965,271.21433350377566,"[3.597517000773223, 3.605670324752282, 3.601456960910582, 3.6015651264970074, 3.598391394916689, 3.6017494038387667, 3.6021575651175226, 3.6047113624372287, 3.602488623750105, 3.60171554844419, 3.5989085185719887, 3.6030615004128776, 3.597573798891972, 3.594686047115829, 3.6061219456314575, 3.597589741475531, 3.601077320628974, 3.6010383340835688, 3.5999054882631754, 3.6005359277914977, 3.596159762731986, 3.60001309508516, 3.5981280517444247, 3.6019623871397926, 3.5978242783021415, 3.6057665386761073, 3.599924280271807, 3.6035935050385888, 3.6032715927794925, 3.595627711954876, 3.600487145340594, 3.6022770001145545, 3.6018171361574787, 3.6099506552127423, 3.6042779563067597, 3.6030732895887922, 3.6074302165361587, 3.602864926760958, 3.6021725216996856, 3.6050932081998326, 3.604080936209357, 3.6082306107491604, 3.594629150131368, 3.604577747748408, 3.587784988609201, 3.5997916331034503, 3.5999492962509976, 3.6031472901740926, 3.5993538824186544, 3.598230632574996, 3.5944998300401494, 3.6051180683643906, 3.6027685883600498, 3.607324283773778, 3.603637805666949, 3.606223053560825, 3.604204503739311, 3.5924546075621038, 3.6035537108327844, 3.596374125118018, 3.6050815274356864, 3.5986788638765574, 3.6031492249312578, 3.6043208981427597, 3.607654235791415, 3.6048715083525167, 3.602545358175121, 3.604976019691094, 3.5992605150458985, 3.603209640859859, 3.5985809670819435, 3.5965830094428384, 3.6042159418866504, 3.60155564082379, 3.6010014275088906, 3.5950270939356415, 3.6009591684196494, 3.599162117272499, 3.604267613045522, 3.596546339962515, 3.600551016337704, 3.604842875873146, 3.600421165669104, 3.6023075283374055, 3.605024302203674, 3.604249037496629, 3.596524738735752, 3.6000329893722665, 3.598961413408688, 3.601587497345463, 3.60835914035124, 3.602425536781084, 3.604085886181565, 3.595023188951018, 3.597115817683516, 3.6013628288492328, 3.602684557925386, 3.600058257114142, 3.6090850584587315, 3.602558087448415]",174011.66776792402,75.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_11,3.290262859348181,332.36230998630333,"[3.601727660636243, 3.60033493150695, 3.6040012797529926, 3.6038514360479894, 3.6047342030142318, 3.5921936556551373, 3.598532329982845, 3.606698226816661, 3.6019882068940205, 3.6006411773050786, 3.6044227709571715, 3.5998226999727194, 3.6052229434790206, 3.603931325946178, 3.6048958920582663, 3.60388931997295, 3.6051224831171567, 3.5973862635946716, 3.6034791129859514, 3.600852485978976, 3.6028322221682174, 3.6027571295344387, 3.6024123227252858, 3.6088069285615347, 3.600913906171627, 3.601167035441904, 3.602216134466289, 3.6039600622461876, 3.6053472689382033, 3.59944736243051, 3.5987196407295414, 3.604394951064023, 3.6034161967327236, 3.601874954503728, 3.6009684878008557, 3.60739640508109, 3.6040734235939453, 3.599441061967809, 3.6007554343814263, 3.600962970602268, 3.6026742636968265, 3.6072223515584483, 3.602612519316608, 3.6019905994980945, 3.6055040537321474, 3.600584323707153, 3.6058312136810855, 3.6027840496826684, 3.6034436761183315, 3.6043851503927726, 3.6051569614573964, 3.610209649268654, 3.5998361454257974, 3.6019554136219085, 3.603184306884941, 3.61013303083746, 3.603348740369256, 3.6025101824416197, 3.602321330392442, 3.5990367395424983, 3.6074932921183063, 3.6045966146411956, 3.600821942265611, 3.607517031923635, 3.6049493489117594, 3.6056168771974626, 3.601980595085479, 3.604046474196366, 3.606066786109295, 3.6049773365593865, 3.600044818747847, 3.6058247594410204, 3.6002241709720693, 3.606554760473955, 3.6099128318892326, 3.6093413062626496, 3.600370921594731, 3.603182662904146, 3.5999872263200814, 3.6027505729871336, 3.6063245956611354, 3.6076833397964947, 3.6075712352612754, 3.6001693211874226, 3.602288508343918, 3.60042284798692, 3.6040953954143333, 3.6075023833764135, 3.6044468156324, 3.605025880453468, 3.6007626919454196, 3.605457002588082, 3.6080782384524355, 3.602463196730241, 3.6036205636846717, 3.6000885820758413, 3.6074028465372976, 3.606296241050586, 3.602832402175409, 3.606391676446947]",186885.17873628557,66.0
./Generated_ACE_Potentials/Si_dataset/correlation_order_3_EFV/dia_vacancy_divacancy500/Si_degpair_3_degsite_12,1.9946208425092669,487.47035036162,"[3.600107413585647, 3.602348333617556, 3.604009692251566, 3.601314989035018, 3.5985018873980152, 3.6032239259729977, 3.6003129758973955, 3.5969246583408676, 3.5993923736241413, 3.6061301394656766, 3.602361147313786, 3.597099945138325, 3.6043673526946804, 3.5991723217375693, 3.601086855014728, 3.5986158301966498, 3.597599758191791, 3.5999756572564365, 3.6039891066102427, 3.6012719210702926, 3.6017063000253984, 3.597829147838638, 3.601275007087679, 3.598308587599604, 3.596709140285384, 3.602320364698244, 3.6027872267368366, 3.5996153018277255, 3.6003097965658526, 3.598993173232884, 3.603920809138799, 3.598865523286804, 3.597746523017122, 3.5996485788418795, 3.6072889385250164, 3.5984860037933686, 3.601555832508893, 3.5992458646724117, 3.60281962602312, 3.605384674083325, 3.5927092309866566, 3.5970520537812263, 3.600398481823504, 3.601824512013991, 3.6008713267437997, 3.603693280754669, 3.6029338381558773, 3.5988683046525693, 3.5984385367046343, 3.6039945080774487, 3.602757309352455, 3.6020391348356497, 3.6010543569136644, 3.6048438645593706, 3.6027712328650523, 3.6000721211603377, 3.5971232644442352, 3.6002993543079356, 3.5997737023499212, 3.5971420092027984, 3.598192882767762, 3.6042710772308055, 3.6030220848188037, 3.6022033213448594, 3.6003543851693394, 3.6016018152149627, 3.604787357347959, 3.6019462126423605, 3.6005015045957407, 3.604447395526222, 3.5986149903037585, 3.598077380680479, 3.5971201609281707, 3.5951237247354584, 3.596070071478607, 3.6032896050674026, 3.599277828085178, 3.5979653569229413, 3.603540010706638, 3.6052293909087894, 3.602459125992027, 3.594143448601244, 3.601917354419129, 3.6004574648177368, 3.6052668863048893, 3.6032907071567024, 3.598175805542269, 3.6040382785868132, 3.6020806785018067, 3.60516364662908, 3.6041326895938255, 3.6023272467500647, 3.6005901784883463, 3.59984062564763, 3.600121415751346, 3.5998747467820067, 3.5979319688340183, 3.5955942092623445, 3.596835117037699, 3.6052268714411184]",210688.39290315186,54.0
